European

HW10:V,
1
N,BT for Barrier,ABT,BBS,BBSR
10,5.68946295902893784
11,5.60339104811851829
12,5.46704888491244212
13,5.37954991852805708
14,5.26660624469764382
15,5.18186759339090841
16,5.08606222576292932
17,5.00567848084085476
18,4.92292072753864485
19,4.84736490335741799
20,4.77484008431238482
21,4.7040881944965891
22,4.63978074813157626
23,4.57359347684362838
24,4.51601333741133004
25,4.45406794427294894
26,4.40208441103920123
27,4.34403745985739853
28,5.41233848747024915
29,5.3515688081191124
30,5.32297064450915869
31,5.26435820590769499
32,5.23773683395667788
33,5.18128451308477267
34,5.15640206076410657
35,5.10207152051978685
36,5.07873079539081029
37,5.02645869560712732
38,5.0044942672725572
39,4.95420282185813576
40,4.93347445550392649
41,4.88507833310619421
42,4.86546605992574666
43,4.81887688968886074
44,4.80027724256275956
45,4.75540653516679868
46,4.73772963040026251
47,4.69555014364123391
48,4.67765788658024206
49,4.63791095484383309
50,4.61990904255799606
51,4.58236695311992026
52,4.56434171165915359
53,4.52880567390839772
54,4.51082525877438112
55,4.47712083297448782
56,4.45923897175284711
57,4.42721235240358446
58,4.40947126142821411
59,4.37898623241727325
60,4.36141890528939413
61,5.12730617260620836
62,5.11527955325229744
63,5.08468768625460132
64,5.07224132234336
65,5.04306740293831179
66,5.03027952344506346
67,5.00241772441101418
68,4.98935538273565093
69,4.9627105630858086
70,4.94943133832573956
71,4.92391770065454004
72,4.91047111285245208
73,4.88601106051374412
74,4.87243975293711973
75,4.84896291294164694
76,4.83530364368661658
77,4.81274602773261773
78,4.79903050453809676
79,4.77733378574705725
80,4.76358937131054105
81,4.74270025831890063
82,4.72895056821198434
83,4.70882026155138433
84,4.69508567270472366
85,4.67566939101472467
86,4.66196747545605916
87,4.64322404119651644
88,4.62956993708786335
89,4.61146141314548785
90,4.59786814304399982
91,4.5803595130192214
92,4.56683825757590078
93,4.54989714369210851
94,4.53645747759674478
95,4.52005389112962597
96,4.50670398698422048
97,4.49081010686869231
98,4.47755691173355608
99,4.46214688768746992
100,4.44899627628186334
101,4.43404605329516599
102,4.42100296120227743
103,4.40649012271929674
104,4.3935586624198093
105,4.37946228990618369
106,4.36664585203416511
107,4.35294639895063895
108,4.34024774079780773
109,4.94971012121010201
110,4.93726119205301561
111,4.92486406019776801
112,4.91242854310133481
113,4.90038919345555701
114,4.88797563842279903
115,4.87627760992822434
116,4.86389367413490614
117,4.85252152898388811
118,4.84017406477131384
119,4.82911330905449976
120,4.81680844261000551
121,4.80604545429202901
122,4.79378865608771854
123,4.78331061952203829
124,4.77110676746306872
125,4.76090161376767718
126,4.74875504987640173
127,4.73881140256009292
128,4.72672598391386778
129,4.71703310922081087
130,4.70501225378309407
131,4.69556001528606881
132,4.68360674318508341
133,4.67438556019843876
134,4.66250253094983602
135,4.65350334040320313
136,4.64169288650746381
137,4.63290710793502125
138,4.62117126522994859
139,4.61259076858940631
140,4.60093130370081838
141,4.59254837975548558
142,4.58096681494590552
143,4.57277414796857684
144,4.56127178364557651
145,4.55326242624217858
146,4.54184036137236902
147,4.5340077112270194
148,4.52266686185471389
149,4.5150046402335331
150,4.50374575629864271
151,4.49624798815125093
152,4.48507166877792951
153,4.47773266430216133
154,4.46663937169718661
155,4.45945370924618967
156,4.44844378134600671
157,4.44140629155868893
158,4.43047995355020596
159,4.42358570460347345
160,4.41274307941682764
161,4.40598736331337104
162,4.39522848118878873
163,4.38860680098996347
164,4.37793160820258809
165,4.37143966613618584
166,4.36084803295739842
167,4.35448171932565398
168,4.34397344729459345
169,4.84800062912206631
170,4.83659177840720655
171,4.83172485950192598
172,4.82037682576906956
173,4.81561508541685068
174,4.80432877856919038
175,4.79966875789742708
176,4.78844497731316032
177,4.78388336805207803
178,4.77272281085384975
179,4.76825644723590436
180,4.7571597159463872
181,4.75278556711365407
182,4.74189600716292858
183,4.73746833963771419
184,4.72678164610813045
185,4.72230241692957087
186,4.71181267839103857
187,4.70728549110399008
188,4.6969870279289081
189,4.69241529401470636
190,4.6823026470307223
191,4.67768959695541575
192,4.66775751675765882
193,4.66310621030947203
194,4.65334964718790189
195,4.64866298315497506
196,4.63907707760255672
197,4.6343578028365906
198,4.62493787659590172
199,4.62018859450176311
200,4.61093014211959318
201,4.60615332061729443
202,4.5970520014609626
203,4.59224998046035893
204,4.58330161117930412
205,4.57847660958895375
206,4.56967715698798838
207,4.56483127929651555
208,4.5561768535980276
209,4.55131209606229792
210,4.5427989445225947
211,4.5379172009819797
212,4.52954170185637484
213,4.52464476919531311
214,4.51640342601263178
215,4.51149300931329034
216,4.50338244545385624
217,4.4984601628298595
218,4.4904771163852546
219,4.48554450354695788
220,4.47768582244013214
221,4.4727443369869162
222,4.46500697434330895
223,4.46005799981198692
224,4.45243900956519134
225,4.44748385924842271
226,4.43998039195746941
227,4.43502031250525075
228,4.42762961139241895
229,4.42266578620900574
230,4.415385183379402
231,4.41041873583011412
232,4.40324564868676394
233,4.39827764512894337
234,4.39120957295011749
235,4.38624102559620699
236,4.37927554628883975
237,4.37430741590706074
238,4.36744218290383746
239,4.36247538137918589
240,4.35570812068964575
241,4.35074351344335408
242,4.34407202083864252
243,4.3391104291134921
244,4.76422691561148071
245,4.75960022734120436
246,4.7529187234098762
247,4.74827302743659541
248,4.74169201277435626
249,4.73702870948623911
250,4.73054590260102081
251,4.72586633317207294
252,4.71947952131094262
253,4.71478497032514543
254,4.70849200690985459
255,4.70378370485429098
256,4.69758250701700053
257,4.69286163265497525
258,4.68675017889571777
259,4.68201786152310362
260,4.67599418946705025
261,4.67125151105902869
262,4.66531371530613104
263,4.66056171256271767
264,4.65470794263627496
265,4.64994760892783354
266,4.64417606730827703
267,4.63940835453002087
268,4.63371729477477068
269,4.62894311511485412
270,4.62333084005017092
271,4.6185510676697854
272,4.61301592767273316
273,4.60823140031480882
274,4.60277179165404071
275,4.59798331216731793
276,4.59259767541829245
277,4.58780601322511039
278,4.58249283174813105
279,4.5776987242307472
280,4.57245652271609071
281,4.56766067654664099
282,4.56248801961228967
283,4.557691112022769
284,4.55258660287257921
285,4.54778928286584083
286,4.54275156200127928
287,4.53795445150501031
288,4.53298219548681391
289,4.5281858904623089
290,4.52327781072213853
291,4.51848288221645777
292,4.51363772391499829
293,4.50884471907070594
294,4.50406125999987061
295,4.49927070302031673
296,4.49454775255214489
297,4.48976014562218229
298,4.48509654368863497
299,4.48031236785728471
300,4.47570698397762179
301,4.47092670000346093
302,4.46637843234655652
303,4.46160248150004257
304,4.45711025598292832
305,4.4523390608242206
306,4.44790183023910224
307,4.44313579535149916
308,4.43875253853602736
309,4.43399205123831752
310,4.42966177226211055
311,4.42490720328714904
312,4.42062893067965224
313,4.415880634819489
314,4.41165342082772494
315,4.40691173755494958
316,4.40273465741708048
317,4.39799991148750369
318,4.39387206273826525
319,4.38914456475367132
320,4.38506506656258566
321,4.3803451135251672
322,4.37631310604382762
323,4.37160098187449275
324,4.3676156256188321
325,4.36291160166463143
326,4.35897207691604027
327,4.3542764124326947
328,4.35038191865507606
329,4.34569486126649629
330,4.34184461654771781
331,4.33716640269426534
332,4.70783697486475194
333,4.70300684926087076
334,4.69946779586639618
335,4.69463872372085689
336,4.69114427142589108
337,4.6863166650139787
338,4.68286601746956244
339,4.67804027419714696
340,4.67463265351685209
341,4.66980915643748684
342,4.6664438026682129
343,4.66162292097955966
344,4.65829909159976818
345,4.6534811811210739
346,4.65019815054477359
347,4.64538355417481696
348,4.64214061327407101
349,4.63732966143433956
350,4.63412611708898492
351,4.62931912814821711
352,4.62615430279684414
353,4.62135158348374642
354,4.61822481468977575
355,4.61342666048485039
356,4.61033730053143209
357,4.60554399604902898
358,4.60249141153001506
359,4.59770323088500454
360,4.59468680231858695
361,4.58990400948297772
362,4.58692313093314752
363,4.58214598006970331
364,4.57920005878718062
365,4.5744287945825759
366,4.57151725064776571
367,4.56675210862946734
368,4.56387437461214152
369,4.55911558145240914
370,4.55627110208225261
371,4.55151887589224113
372,4.54870710773792997
373,4.54396165834958232
374,4.54118206950728354
375,4.53644359875288572
376,4.53369566854763306
377,4.5289643705212459
378,4.52624758921140202
379,4.5215236505237435
380,4.51883751902446207
381,4.51412111904729141
382,4.51146514865508763
383,4.50675645975843242
384,4.50413017188334486
385,4.49942935966765489
386,4.49683228557851056
387,4.49213950909829318
388,4.489571189671544
389,4.48488660164201125
390,4.48234658711681355
391,4.47767033412571891
392,4.47515818387712994
393,4.47049040658151586
394,4.46800568888459448
395,4.46334652220374384
396,4.46088881401876147
397,4.4562383873166187
398,4.45380727407030719
399,4.4491657113455414
400,4.44676078671899688
401,4.44212820676980602
402,4.43974907250649231
403,4.43512558909958887
404,4.43277185480036717
405,4.42815757683160438
406,4.42582885977170903
407,4.4212562934908135
408,4.41891981635679532
409,4.4143893129284324
410,4.41204445624759867
411,4.40755543040103959
412,4.40520251384299577
413,4.40075439114969136
414,4.39839372623047264
415,4.39398594285976873
416,4.39161783316198928
417,4.38724983563280801
418,4.38487457700903871
419,4.380545821958445
420,4.37816370275949307
421,4.37387365670267947
422,4.37148495796665326
423,4.36723309708286145
424,4.36483809273738554
425,4.3606239026466902
426,4.35822285969465018
427,4.35404583524846789
428,4.35163901395534847
429,4.3474986590287017
430,4.34508631310494664
431,4.34098214039622921
432,4.33856451716318325
433,4.66473198867992611
434,4.6625745466469235
435,4.65831585228885636
436,4.65614586914786166
437,4.65192674285098473
438,4.64974457620770387
439,4.64556448566246871
440,4.64337048496403071
441,4.6392289072462205
442,4.6370234139933153
443,4.63291983535458485
444,4.63070318329155661
445,4.62663709896497188
446,4.62440961427973019
447,4.62038052828738444
448,4.618142529783273
449,4.61414995474314349
450,4.61190175403688674
451,4.60794521097929799
452,4.60568711266651576
453,4.60176613085820918
454,4.59949843268660796
455,4.59561254945132358
456,4.59333554249113707
457,4.58948430304158883
458,4.58719827184082085
459,4.58338122911072077
460,4.58108645186301366
461,4.5773031663498065
462,4.57499991503410008
463,4.57124995463621175
464,4.56893849517450601
465,4.56522143503982392
466,4.56290202744569928
467,4.55921744981574495
468,4.55689034832725426
469,4.55323784239778107
470,4.55090329562368634
471,4.54728245739778725
472,4.54494070844013187
473,4.54135114059366174
474,4.5390024271838314
475,4.5354437389226776
476,4.5330882935536847
477,4.52956010048465618
478,4.52719815052592445
479,4.52370007452631384
480,4.52133184235055552
481,4.51786351143885412
482,4.51548921453091356
483,4.51205026275212262
484,4.5096701138317199
485,4.50626018112623861
486,4.50387438825524455
487,4.50049312034982485
488,4.49810188703579161
489,4.49474893532589892
490,4.49235246063348459
491,4.48902748206695801
492,4.48662596072241193
493,4.4833286176957019
494,4.48092224017677765
495,4.47765220042670986
496,4.47524115307103276
497,4.47199808956502487
498,4.46958255465938414
499,4.46636614550703648
500,4.46394630137767479
501,4.46075622971346153
502,4.45833225082093332
503,4.45516820471947383
504,4.45274026174399928
505,4.4496019341230193
506,4.44717019405259073
507,4.44405728257401744
508,4.44162190878200125
509,4.43853411577006796
510,4.43609526810289267
511,4.43303230044714081
512,4.43059013530052681
513,4.427551704374177
514,4.42510637476836699
515,4.42209219634459316
516,4.41964385200633814
517,4.41665364617128375
518,4.41420243359991371
519,4.41123592467104864
520,4.40878198721608605
521,4.40583890366718656
522,4.40338238159475814
523,4.40046245597932906
524,4.39800348654005635
525,4.39510645541004408
526,4.39264517290605649
527,4.38977077674330207
528,4.38730731259561679
529,4.38445529573448844
530,4.38198977854619098
531,4.37915988911048171
532,4.37669244472240582
533,4.37388443454178955
534,4.37141518610147273
535,4.36862881066412001
536,4.36615787867630001
537,4.36339289704474798
538,4.36092039943529919
539,4.3581765741886116
540,4.35570262636105365
541,4.35297972353230467
542,4.35050443841270695
543,4.34780222742731759
544,4.34532571552968161
545,4.34264396913984907
546,4.34016633861263745
547,4.33750483284199273
548,4.63069334691953216
549,4.62805390443685738
550,4.62559045601497765
551,4.62297278922033783
552,4.62050501149326909
553,4.61790887637191005
554,4.61543691893209207
555,4.61286207498506418
556,4.61038608453210852
557,4.60783229470719924
558,4.60535241510128301
559,4.60281944574235702
560,4.60033581806607383
561,4.59782343884426492
562,4.59533620145533028
563,4.59284418531462002
564,4.59035347390045434
